slug,title,subtitle,category,price,originalPrice,packSize,weightInGrams,stockQuantity,isPublished,isFeatured,isSeasonal,regionalOrigin,spiceLevel,shelfLifeDays,ingredients,description
authentic-mango-pickle,Traditional Andhra Avakaya Mango Pickle,Sun-cured raw mango cubes with stone-ground mustard and Guntur chili,Pickles,249,299,350g,350,50,true,true,false,Andhra Pradesh,high,365,"Raw Mango, Mustard Powder, Guntur Chili, Fenugreek, Cold-Pressed Sesame Oil, Sea Salt",Handcrafted using heritage recipes from coastal Andhra. Cured slowly under natural sunlight with premium cold-pressed oil and aromatic whole spices.
spicy-garlic-pickle,Kolhapuri Lahsun Chutney Pickle,Fiery whole garlic cloves slow-simmered in roasted sesame oil,Pickles,199,249,250g,250,45,true,false,false,Maharashtra,high,270,"Garlic Cloves, Dry Red Chili, Roasted Sesame, Mustard Oil, Rock Salt, Turmeric",Slow-cooked garlic pods infused with aromatic spices and cold-pressed oil. An intense traditional Maharashtrian delicacy.
sweet-lime-pickle,Gujarati Khatta Meetha Nimboo Pickle,Oil-free sun-cured yellow lemons with jaggery and roasted cumin,Pickles,229,279,300g,300,40,true,false,false,Gujarat,mild,365,"Kagzi Lemons, Organic Jaggery, Cumin, Black Salt, Kashmiri Chili, Ajwain",Oil-free traditional Gujarati preparation aged in ceramic jars. Harmonious balance of tangy citrus and caramel jaggery.
bikaneri-moong-dal-papad,Hand-Rolled Bikaneri Moong Papad,Crisp sun-dried lentil discs with crushed black peppercorns and hing,Papad,149,189,200g,200,80,true,true,false,Rajasthan,medium,180,"Moong Lentil Flour, Urad Flour, Black Pepper, Asafoetida, Papad Khar, Cold-Pressed Groundnut Oil",Rolled by hand by skilled women artisans in Bikaner. Crisp texture with the warmth of freshly crushed black pepper and pure hing.
masala-urad-papad,Fiery Amritsari Masala Papad,Bold Punjabi recipe with cracked coriander, black pepper, and carom,Papad,139,179,200g,200,65,true,false,false,Punjab,high,180,"Urad Dal Flour, Black Pepper, Coriander Seeds, Ajwain, Asafoetida, Rock Salt",Authentic Punjabi spiced papad crafted with stone-ground urad dal and aromatic spices. Perfect roasted or deep-fried.
roasted-makhana-mint,Himalayan Salt & Pudina Foxnuts,Slow-roasted organic foxnuts dusted with dried mint and rock salt,Roasted Snacks,189,229,100g,100,60,true,true,false,Bihar,mild,120,"Organic Makhana, Dried Mint Leaves, Himalayan Pink Salt, Cold-Pressed Olive Oil, Cumin Powder",Crunchy and light superfood snack roasted without excess oil. High in protein and mineral nutrition.
roasted-chana-jor-garam,Diet Roasted Chana Jor Garam,Flattened Bengal gram spiced with chaat masala and amchur,Roasted Snacks,129,159,200g,200,75,true,false,false,Uttar Pradesh,medium,150,"Flattened Brown Chana, Dry Mango Powder, Roasted Cumin, Black Salt, Chili, Turmeric",A traditional street-side favourite converted into an oil-free, protein-rich crunchy pantry staple.
ratlami-sev,Heritage Ratlami Laung Sev,Legendary spiced gram flour crisps with stone-ground cloves and carom,Savoury Snacks,149,189,250g,250,90,true,true,false,Madhya Pradesh,high,90,"Besan (Gram Flour), Cloves, Black Pepper, Ajwain, Hing, Cold-Pressed Groundnut Oil, Rock Salt",The iconic Malwa snack recipe featuring a prominent aroma of stone-ground cloves and rich gram flour crunch.
gujarati-methi-khakhra,Handmade Methi Khakhra,Crispy roasted whole wheat crisps with sun-dried fenugreek leaves,Tea-Time Snacks,169,199,200g,200,70,true,false,false,Gujarat,mild,120,"Whole Wheat Flour, Kasuri Methi, Turmeric, Sesame Seeds, Ajwain, Cow Ghee, Rock Salt",Artisanal thin whole wheat flatbread roasted to golden crisp perfection on iron griddles. Ideal companion for masala chai.
banana-chips-coconut-oil,Authentic Kerala Nendran Banana Chips,Golden wafer-thin raw banana crisps fried in pure coconut oil,Savoury Snacks,179,219,200g,200,85,true,true,false,Kerala,mild,60,"Raw Nendran Bananas, Pure Cold-Pressed Coconut Oil, Turmeric, Sea Salt",Made using indigenous GI-tagged Nendran bananas from Thrissur, sliced thin and fried in fresh cold-pressed coconut oil.
bhakarwadi-pune,Pune Special Dry Fruit Bhakarwadi,Spiral pinwheels stuffed with spiced coconut, poppy seeds and sesame,Tea-Time Snacks,199,249,250g,250,55,true,true,false,Maharashtra,medium,90,"Wheat Flour, Gram Flour, Dry Coconut, Sesame Seeds, Poppy Seeds, Fennel, Tamarind, Spices, Groundnut Oil",Authentic Puneri bhakarwadi combining sweet, tangy, and spicy flavours packed in a crispy outer layer.
royal-panchratna-chivda,Royal Dry Fruit Panchratna Mixture,Golden potato salli with cashews, almonds, raisins, and curry leaves,Tea-Time Snacks,229,279,200g,200,45,true,false,false,Rajasthan,mild,90,"Potato Salli, Cashews, California Almonds, Golden Raisins, Peanuts, Green Chili, Curry Leaves, Sugar, Rock Salt",A royal sweet-and-savoury indulgence crafted for festive tea-time hosting.
